cells,steps,density,threads_or_ranks,wall_time
5000000,2000,0.30,4,0.784227
5000000,2000,0.30,4,0.798184
5000000,2000,0.30,4,0.794686
5000000,2000,0.30,4,0.771085
5000000,2000,0.30,4,0.769918
5000000,2000,0.30,4,0.788562
5000000,3000,0.30,4,1.168803
5000000,3000,0.30,4,1.156808
5000000,3000,0.30,4,1.151109
5000000,3000,0.30,4,1.162782
5000000,3000,0.30,4,1.162010
5000000,3000,0.30,4,1.154943
5000000,3000,0.30,4,1.176674
5000000,3000,0.30,4,1.165694
5000000,3000,0.30,4,1.174742
5000000,3000,0.30,4,1.142852
5000000,4000,0.30,4,1.539040
5000000,4000,0.30,4,1.543539
5000000,4000,0.30,4,1.549105
5000000,4000,0.30,4,1.547078
5000000,4000,0.30,4,1.535227
5000000,4000,0.30,4,1.551974
5000000,4000,0.30,4,1.545999
5000000,4000,0.30,4,1.532434
5000000,4000,0.30,4,1.548108
5000000,4000,0.30,4,1.535447
5000000,5000,0.30,4,1.934323
5000000,5000,0.30,4,1.931479
5000000,5000,0.30,4,1.926231
5000000,5000,0.30,4,1.945565
5000000,5000,0.30,4,2.158656
































































































































































5000000,1000,0.30,4,0.382665
5000000,1000,0.30,4,0.397558
5000000,1000,0.30,4,0.545277
5000000,1000,0.30,4,0.797261
5000000,1000,0.30,4,0.639813
5000000,1000,0.30,4,0.503867
5000000,1000,0.30,4,0.426411
5000000,1000,0.30,4,0.421328
5000000,1000,0.30,4,0.500691
5000000,1000,0.30,4,0.521030
5000000,2000,0.30,4,0.904686
5000000,2000,0.30,4,1.168364
5000000,2000,0.30,4,1.334115
5000000,2000,0.30,4,1.747994
5000000,2000,0.30,4,1.137874
5000000,2000,0.30,4,1.130433
5000000,2000,0.30,4,1.163957
5000000,2000,0.30,4,1.195845
5000000,2000,0.30,4,1.136185
5000000,2000,0.30,4,1.102891
5000000,3000,0.30,4,1.791023
5000000,3000,0.30,4,2.405612
5000000,3000,0.30,4,1.709719
5000000,3000,0.30,4,1.725346
5000000,3000,0.30,4,1.777429
5000000,3000,0.30,4,1.687584
5000000,3000,0.30,4,1.759670
5000000,3000,0.30,4,1.748070
5000000,3000,0.30,4,1.742544
5000000,3000,0.30,4,1.756076
5000000,4000,0.30,4,2.330592
5000000,4000,0.30,4,2.364914
5000000,4000,0.30,4,2.251330
5000000,4000,0.30,4,2.535736
5000000,4000,0.30,4,2.828645
5000000,4000,0.30,4,2.567447
5000000,4000,0.30,4,2.320877
5000000,4000,0.30,4,2.307599
5000000,4000,0.30,4,2.511812
5000000,4000,0.30,4,3.127318
5000000,5000,0.30,4,2.028473
