cells,steps,density,threads_or_ranks,wall_time
5000000,5000,0.30,1,48.755751
5000000,5000,0.30,1,53.203933
5000000,5000,0.30,1,52.240756
5000000,5000,0.30,1,50.170173
5000000,5000,0.30,1,53.380109
5000000,5000,0.30,1,51.340582
5000000,5000,0.30,1,51.623630
5000000,1000,0.30,1,11.255345
5000000,1000,0.30,1,9.547248
5000000,1000,0.30,1,10.234436
5000000,1000,0.30,1,10.532646
5000000,1000,0.30,1,10.416313
5000000,1000,0.30,1,9.784963
5000000,1000,0.30,1,10.027029
5000000,1000,0.30,1,9.757581
5000000,1000,0.30,1,10.257456
5000000,1000,0.30,1,10.031838
5000000,2000,0.30,1,21.043584
5000000,2000,0.30,1,19.555789
5000000,2000,0.30,1,19.536965
5000000,2000,0.30,1,19.518857
5000000,2000,0.30,1,18.789142
5000000,2000,0.30,1,19.515223
5000000,2000,0.30,1,19.305754
5000000,2000,0.30,1,19.459387
5000000,2000,0.30,1,19.428497
5000000,2000,0.30,1,19.394064
5000000,3000,0.30,1,28.919814
5000000,3000,0.30,1,30.040487
5000000,3000,0.30,1,30.030206
5000000,3000,0.30,1,29.902093
5000000,3000,0.30,1,28.087406
5000000,3000,0.30,1,29.939279
5000000,3000,0.30,1,28.648296
5000000,3000,0.30,1,28.916662
5000000,3000,0.30,1,28.944682
5000000,3000,0.30,1,29.965364
5000000,4000,0.30,1,38.348474
5000000,4000,0.30,1,38.510192
5000000,4000,0.30,1,39.444965
5000000,4000,0.30,1,38.351657
5000000,4000,0.30,1,39.738584
5000000,4000,0.30,1,37.434796
5000000,4000,0.30,1,39.926750
5000000,4000,0.30,1,38.378115
5000000,4000,0.30,1,38.520558
5000000,4000,0.30,1,38.451991
5000000,5000,0.30,1,48.031660
5000000,5000,0.30,1,46.700328
5000000,5000,0.30,1,48.228829
5000000,5000,0.30,1,48.079730
5000000,5000,0.30,1,47.729700
5000000,5000,0.30,1,52.483416
10000000,1000,0.30,1,18.791319
10000000,1000,0.30,1,19.078253
10000000,1000,0.30,1,18.775126
10000000,1000,0.30,1,18.595382
10000000,1000,0.30,1,18.991937
10000000,1000,0.30,1,18.543827
10000000,1000,0.30,1,19.800015
10000000,1000,0.30,1,19.783960
10000000,1000,0.30,1,19.679039
10000000,1000,0.30,1,19.022058
10000000,2000,0.30,1,37.019261
10000000,2000,0.30,1,38.210671
10000000,2000,0.30,1,37.007487
