cells,steps,density,threads_or_ranks,wall_time
15000000,3000,0.30,4,41.446864
15000000,3000,0.30,4,41.109553
15000000,3000,0.30,4,41.068854
15000000,3000,0.30,4,41.080748
15000000,3000,0.30,4,41.614999
15000000,3000,0.30,4,41.312710
15000000,3000,0.30,4,41.265758
15000000,3000,0.30,4,41.472297
15000000,3000,0.30,4,40.946482
15000000,3000,0.30,4,40.503510
15000000,4000,0.30,4,55.075513
15000000,4000,0.30,4,54.783258
15000000,4000,0.30,4,55.340180
15000000,4000,0.30,4,55.525914
15000000,4000,0.30,4,55.592732
15000000,4000,0.30,4,55.209303
15000000,4000,0.30,4,55.041748
15000000,4000,0.30,4,55.088625
15000000,4000,0.30,4,55.577757
15000000,4000,0.30,4,54.849720
15000000,5000,0.30,4,69.465180
15000000,5000,0.30,4,69.196183
15000000,5000,0.30,4,69.800497
15000000,5000,0.30,4,69.533477
15000000,5000,0.30,4,68.414968
15000000,5000,0.30,4,69.196269
15000000,5000,0.30,4,69.339315
15000000,5000,0.30,4,69.303719
15000000,5000,0.30,4,69.331021
15000000,5000,0.30,4,68.893518
20000000,1000,0.30,4,18.267185
20000000,1000,0.30,4,18.069130
20000000,1000,0.30,4,18.211763
20000000,1000,0.30,4,18.224679
20000000,1000,0.30,4,18.260457
20000000,1000,0.30,4,18.223861
20000000,1000,0.30,4,18.299304
20000000,1000,0.30,4,18.116461
20000000,1000,0.30,4,18.099173
20000000,1000,0.30,4,18.202817
20000000,2000,0.30,4,36.716415
20000000,2000,0.30,4,36.898206
20000000,2000,0.30,4,36.114067
20000000,2000,0.30,4,36.306382
20000000,2000,0.30,4,36.450924
20000000,2000,0.30,4,36.550502
20000000,2000,0.30,4,36.664450
20000000,2000,0.30,4,36.778423
20000000,2000,0.30,4,36.033906
20000000,2000,0.30,4,36.709307
20000000,3000,0.30,4,55.257544
20000000,3000,0.30,4,54.753002
20000000,3000,0.30,4,55.001413
20000000,3000,0.30,4,54.850445
20000000,3000,0.30,4,55.270398
20000000,3000,0.30,4,55.436027
20000000,3000,0.30,4,54.874224
20000000,3000,0.30,4,54.869866
20000000,3000,0.30,4,55.288347
20000000,3000,0.30,4,55.023298
20000000,4000,0.30,4,73.676556
20000000,4000,0.30,4,73.553559
20000000,4000,0.30,4,73.907887
20000000,4000,0.30,4,74.190617
20000000,4000,0.30,4,73.905353
20000000,4000,0.30,4,73.658723
20000000,4000,0.30,4,74.169499
20000000,4000,0.30,4,73.985174
20000000,4000,0.30,4,73.925937
20000000,4000,0.30,4,73.340294
20000000,5000,0.30,4,92.193707
20000000,5000,0.30,4,92.261635
20000000,5000,0.30,4,92.192943
20000000,5000,0.30,4,92.818781
20000000,5000,0.30,4,91.787759
20000000,5000,0.30,4,92.470609
20000000,5000,0.30,4,92.324369
20000000,5000,0.30,4,92.394990
20000000,5000,0.30,4,92.208688
20000000,5000,0.30,4,92.600128
10000000,500,0.30,4,4.559880
10000000,500,0.30,4,4.595613
10000000,500,0.30,4,4.576772
10000000,500,0.30,4,4.494341
10000000,500,0.30,4,4.517124
10000000,500,0.30,4,4.551238
10000000,500,0.30,4,4.495492
10000000,500,0.30,4,4.515889
10000000,500,0.30,4,4.476561
10000000,500,0.30,4,4.566648
10000000,1000,0.30,4,9.319906
10000000,1000,0.30,4,8.530657
10000000,1000,0.30,4,8.560742
10000000,1000,0.30,4,9.609086
10000000,1000,0.30,4,9.534010
10000000,1000,0.30,4,8.488064
10000000,1000,0.30,4,8.773205
10000000,1000,0.30,4,8.753044
10000000,1000,0.30,4,8.478375
10000000,1000,0.30,4,8.446953
10000000,2000,0.30,4,18.571702
10000000,2000,0.30,4,16.908000
10000000,2000,0.30,4,16.694506
10000000,2000,0.30,4,16.801481
10000000,2000,0.30,4,16.806434
10000000,2000,0.30,4,16.590366
10000000,2000,0.30,4,16.620458
10000000,2000,0.30,4,27.307440
10000000,2000,0.30,4,17.218202
10000000,2000,0.30,4,17.942099
10000000,3000,0.30,4,25.499401
10000000,3000,0.30,4,25.959389
10000000,3000,0.30,4,26.282364
10000000,3000,0.30,4,25.983943
10000000,3000,0.30,4,25.749248
10000000,3000,0.30,4,25.852984
10000000,3000,0.30,4,26.092330
10000000,3000,0.30,4,27.473910
10000000,3000,0.30,4,25.938910
10000000,3000,0.30,4,26.046394
10000000,4000,0.30,4,36.173605
10000000,4000,0.30,4,34.825245
10000000,4000,0.30,4,35.920287
10000000,4000,0.30,4,36.480734
10000000,4000,0.30,4,37.550319
10000000,4000,0.30,4,36.271506
10000000,4000,0.30,4,36.246086
10000000,4000,0.30,4,34.740096
10000000,4000,0.30,4,33.330326
10000000,4000,0.30,4,33.838693
10000000,5000,0.30,4,42.301257
10000000,5000,0.30,4,43.549526
10000000,5000,0.30,4,42.602825
10000000,5000,0.30,4,42.175268
10000000,5000,0.30,4,42.149980
10000000,5000,0.30,4,47.633658
10000000,5000,0.30,4,43.526632
10000000,5000,0.30,4,44.963583
10000000,5000,0.30,4,46.490857
10000000,5000,0.30,4,42.423742
15000000,1000,0.30,4,12.443787
15000000,1000,0.30,4,12.597365
15000000,1000,0.30,4,12.442537
15000000,1000,0.30,4,12.511136
15000000,1000,0.30,4,12.612889
15000000,1000,0.30,4,12.586386
15000000,1000,0.30,4,12.557295
15000000,1000,0.30,4,12.570233
15000000,1000,0.30,4,12.578608
15000000,1000,0.30,4,12.527432
15000000,2000,0.30,4,25.225673
15000000,2000,0.30,4,24.905749
15000000,2000,0.30,4,24.926349
15000000,2000,0.30,4,25.132099
15000000,2000,0.30,4,25.199111
15000000,2000,0.30,4,25.100225
15000000,2000,0.30,4,25.284476
15000000,2000,0.30,4,32.037180
15000000,2000,0.30,4,26.954460
15000000,2000,0.30,4,27.817417
15000000,3000,0.30,4,40.124468
15000000,3000,0.30,4,44.942320
15000000,3000,0.30,4,39.387834
15000000,3000,0.30,4,40.067204
15000000,3000,0.30,4,47.042232
15000000,3000,0.30,4,40.394743
15000000,3000,0.30,4,39.851695
15000000,3000,0.30,4,40.060413
15000000,3000,0.30,4,41.789564
15000000,3000,0.30,4,39.052957
15000000,4000,0.30,4,52.669086
15000000,4000,0.30,4,51.627005
15000000,4000,0.30,4,51.342366
15000000,4000,0.30,4,52.550356
15000000,4000,0.30,4,51.108973
15000000,4000,0.30,4,51.091766
15000000,4000,0.30,4,52.007543
15000000,4000,0.30,4,52.791836
15000000,4000,0.30,4,51.041021
15000000,4000,0.30,4,51.441218
15000000,5000,0.30,4,63.544992
15000000,5000,0.30,4,64.709966
15000000,5000,0.30,4,63.970153
15000000,5000,0.30,4,63.831334
15000000,5000,0.30,4,65.993622
15000000,5000,0.30,4,63.924045
15000000,5000,0.30,4,64.634726
15000000,5000,0.30,4,64.731989
15000000,5000,0.30,4,64.090207
15000000,5000,0.30,4,65.328636
20000000,1000,0.30,4,16.944349
20000000,1000,0.30,4,16.808494
20000000,1000,0.30,4,16.962015
20000000,1000,0.30,4,17.940016
20000000,1000,0.30,4,16.853649
20000000,1000,0.30,4,17.174232
20000000,1000,0.30,4,16.830624
20000000,1000,0.30,4,16.843774
20000000,1000,0.30,4,16.657636
20000000,1000,0.30,4,16.824451
20000000,2000,0.30,4,33.621853
20000000,2000,0.30,4,33.621537
20000000,2000,0.30,4,33.700714
20000000,2000,0.30,4,35.292689
20000000,2000,0.30,4,35.237855
20000000,2000,0.30,4,33.929998
20000000,2000,0.30,4,35.661193
20000000,2000,0.30,4,37.028077
20000000,2000,0.30,4,37.280657
20000000,2000,0.30,4,37.010092
20000000,3000,0.30,4,57.303618
20000000,3000,0.30,4,57.900474
20000000,3000,0.30,4,56.180626
20000000,3000,0.30,4,58.673518
20000000,3000,0.30,4,57.283227
20000000,3000,0.30,4,56.956490
20000000,3000,0.30,4,59.894945
