Archivo,Ejecución,Tamaño,Tiempo (s)
4hilos.doc,88,4000x4000,115.0285
4hilos.doc,89,4500x4500,154.5231
4hilos.doc,90,5000x5000,232.0842
4procesos.doc,1,1000x1000,0.7871
4procesos.doc,2,1500x1500,3.3179
4procesos.doc,3,2000x2000,6.6486
4procesos.doc,4,2500x2500,19.0138
4procesos.doc,5,3000x3000,28.7508
4procesos.doc,6,3500x3500,55.9214
4procesos.doc,7,4000x4000,67.5795
4procesos.doc,8,4500x4500,121.3468
4procesos.doc,9,5000x5000,145.0448
4procesos.doc,10,1000x1000,0.7444
4procesos.doc,11,1500x1500,3.1999
4procesos.doc,12,2000x2000,6.4543
4procesos.doc,13,2500x2500,18.7451
4procesos.doc,14,3000x3000,28.3260
4procesos.doc,15,3500x3500,55.5636
4procesos.doc,16,4000x4000,67.0992
4procesos.doc,17,4500x4500,121.2556
4procesos.doc,18,5000x5000,144.9692
4procesos.doc,19,1000x1000,0.7449
4procesos.doc,20,1500x1500,3.2022
4procesos.doc,21,2000x2000,6.5150
4procesos.doc,22,2500x2500,18.7112
4procesos.doc,23,3000x3000,28.3428
4procesos.doc,24,3500x3500,55.5498
4procesos.doc,25,4000x4000,67.0629
4procesos.doc,26,4500x4500,121.0461
4procesos.doc,27,5000x5000,144.4326
4procesos.doc,28,1000x1000,0.7769
4procesos.doc,29,1500x1500,3.2582
4procesos.doc,30,2000x2000,6.5764
4procesos.doc,31,2500x2500,18.8919
4procesos.doc,32,3000x3000,28.5729
4procesos.doc,33,3500x3500,55.6451
4procesos.doc,34,4000x4000,67.2936
4procesos.doc,35,4500x4500,121.3124
4procesos.doc,36,5000x5000,144.5979
4procesos.doc,37,1000x1000,0.7441
4procesos.doc,38,1500x1500,3.2070
4procesos.doc,39,2000x2000,6.4168
4procesos.doc,40,2500x2500,18.6617
4procesos.doc,41,3000x3000,28.3226
4procesos.doc,42,3500x3500,55.4237
4procesos.doc,43,4000x4000,66.8828
4procesos.doc,44,4500x4500,120.9942
4procesos.doc,45,5000x5000,144.3787
4procesos.doc,46,1000x1000,0.7858
4procesos.doc,47,1500x1500,3.2646
4procesos.doc,48,2000x2000,6.5551
4procesos.doc,49,2500x2500,18.8848
4procesos.doc,50,3000x3000,28.6353
4procesos.doc,51,3500x3500,55.7352
4procesos.doc,52,4000x4000,67.0557
4procesos.doc,53,4500x4500,121.0198
4procesos.doc,54,5000x5000,144.2940
4procesos.doc,55,1000x1000,0.7833
4procesos.doc,56,1500x1500,3.2639
4procesos.doc,57,2000x2000,6.5812
4procesos.doc,58,2500x2500,18.8268
4procesos.doc,59,3000x3000,28.4533
4procesos.doc,60,3500x3500,55.5241
4procesos.doc,61,4000x4000,66.9246
4procesos.doc,62,4500x4500,120.9270
4procesos.doc,63,5000x5000,144.4257
4procesos.doc,64,1000x1000,0.7422
4procesos.doc,65,1500x1500,3.2021
4procesos.doc,66,2000x2000,6.4365
4procesos.doc,67,2500x2500,18.6827
4procesos.doc,68,3000x3000,28.2600
4procesos.doc,69,3500x3500,55.1818
4procesos.doc,70,4000x4000,66.7139
4procesos.doc,71,4500x4500,120.8221
4procesos.doc,72,5000x5000,144.1981
4procesos.doc,73,1000x1000,0.7398
4procesos.doc,74,1500x1500,3.1895
4procesos.doc,75,2000x2000,6.4693
4procesos.doc,76,2500x2500,18.7110
4procesos.doc,77,3000x3000,28.1863
4procesos.doc,78,3500x3500,55.2908
4procesos.doc,79,4000x4000,66.7799
4procesos.doc,80,4500x4500,120.5992
4procesos.doc,81,5000x5000,143.9131
4procesos.doc,82,1000x1000,0.7409
4procesos.doc,83,1500x1500,3.2048
4procesos.doc,84,2000x2000,6.4618
4procesos.doc,85,2500x2500,18.7027
4procesos.doc,86,3000x3000,28.2144
4procesos.doc,87,3500x3500,55.2055
4procesos.doc,88,4000x4000,66.7147
4procesos.doc,89,4500x4500,120.5858
4procesos.doc,90,5000x5000,144.1813
4procesos.doc,91,6000x6000,236.1129
6hilos.doc,1,1000x1000,1.2903
6hilos.doc,2,1500x1500,4.1879
6hilos.doc,3,2000x2000,12.5035
6hilos.doc,4,2500x2500,22.7694
6hilos.doc,5,3000x3000,47.8862
6hilos.doc,6,3500x3500,90.8402
6hilos.doc,7,4000x4000,120.7234
6hilos.doc,8,4500x4500,137.6485
6hilos.doc,9,5000x5000,191.0591
6hilos.doc,10,1000x1000,1.1147
6hilos.doc,11,1500x1500,4.2878
6hilos.doc,12,2000x2000,12.3779
6hilos.doc,13,2500x2500,23.6423
6hilos.doc,14,3000x3000,48.1579
6hilos.doc,15,3500x3500,66.4998
6hilos.doc,16,4000x4000,104.2047
6hilos.doc,17,4500x4500,138.6572
6hilos.doc,18,5000x5000,197.6759
6hilos.doc,19,1000x1000,1.0865
6hilos.doc,20,1500x1500,4.2725
6hilos.doc,21,2000x2000,12.5668
6hilos.doc,22,2500x2500,23.3250
6hilos.doc,23,3000x3000,45.7406
6hilos.doc,24,3500x3500,66.5937
6hilos.doc,25,4000x4000,109.2900
6hilos.doc,26,4500x4500,137.2678
6hilos.doc,27,5000x5000,194.5078
6hilos.doc,28,1000x1000,1.1047
6hilos.doc,29,1500x1500,4.4077
6hilos.doc,30,2000x2000,12.5402
6hilos.doc,31,2500x2500,23.3590
6hilos.doc,32,3000x3000,45.7684
6hilos.doc,33,3500x3500,66.4606
6hilos.doc,34,4000x4000,106.5137
6hilos.doc,35,4500x4500,131.6838
6hilos.doc,36,5000x5000,199.0118
6hilos.doc,37,1000x1000,1.0855
6hilos.doc,38,1500x1500,4.2903
6hilos.doc,39,2000x2000,12.5478
6hilos.doc,40,2500x2500,24.7445
6hilos.doc,41,3000x3000,45.6624
6hilos.doc,42,3500x3500,68.9973
6hilos.doc,43,4000x4000,108.8390
6hilos.doc,44,4500x4500,130.5658
6hilos.doc,45,5000x5000,196.6714
6hilos.doc,46,1000x1000,1.1300
6hilos.doc,47,1500x1500,4.2941
6hilos.doc,48,2000x2000,12.6093
6hilos.doc,49,2500x2500,23.2971
6hilos.doc,50,3000x3000,45.7011
6hilos.doc,51,3500x3500,67.7318
6hilos.doc,52,4000x4000,108.2089
6hilos.doc,53,4500x4500,131.2794
6hilos.doc,54,5000x5000,191.0806
