Archivo,Ejecución,Tamaño,Tiempo (s)
hilos82.doc,27,2000x2000,8.4807
hilos82.doc,28,2500x2500,16.8711
hilos82.doc,29,1000x1000,0.9841
hilos82.doc,30,1500x1500,3.3856
hilos82.doc,31,2000x2000,8.1971
hilos82.doc,32,2500x2500,17.9648
hilos82.doc,33,1000x1000,0.9821
hilos82.doc,34,1500x1500,3.4796
hilos82.doc,35,2000x2000,7.8950
hilos82.doc,36,2500x2500,16.7420
hilos82.doc,37,1000x1000,0.9454
hilos82.doc,38,1500x1500,3.4032
hilos82.doc,39,2000x2000,7.9164
hilos82.doc,40,2500x2500,16.5309
hilos82.doc,41,1000x1000,0.9916
hilos82.doc,42,1500x1500,3.3642
hilos82.doc,43,2000x2000,7.9270
hilos82.doc,44,2500x2500,16.5862
hilos82.doc,45,1000x1000,0.9506
hilos82.doc,46,1500x1500,3.3637
hilos82.doc,47,2000x2000,7.8905
hilos82.doc,48,2500x2500,17.5642
hilos82.doc,49,1000x1000,0.9594
hilos82.doc,50,1500x1500,3.4279
hilos82.doc,51,2000x2000,8.0106
hilos82.doc,52,2500x2500,16.8561
hilos82.doc,53,1000x1000,0.9774
hilos82.doc,54,1500x1500,3.1827
hilos82.doc,55,2000x2000,8.0243
hilos82.doc,56,2500x2500,16.7146
hilos82.doc,57,3000x3000,30.5227
hilos82.doc,58,3500x3500,78.7077
hilos82.doc,59,4000x4000,89.9776
hilos82.doc,60,4500x4500,138.1285
hilos82.doc,61,5000x5000,154.5153
hilos82.doc,62,3000x3000,31.8346
hilos82.doc,63,3500x3500,49.1082
hilos82.doc,64,4000x4000,76.0890
hilos82.doc,65,4500x4500,108.0169
hilos82.doc,66,5000x5000,156.6232
hilos82.doc,67,3000x3000,30.6201
hilos82.doc,68,3500x3500,49.9525
hilos82.doc,69,4000x4000,101.4737
openmp.doc,1,2000x2000,11.1449
openmp.doc,2,2500x2500,19.4729
openmp.doc,3,3000x3000,38.9217
openmp.doc,4,3500x3500,53.5094
openmp.doc,5,4000x4000,96.0784
openmp.doc,6,4500x4500,124.3501
openmp.doc,7,5000x5000,194.6644
openmp.doc,8,1000x1000,0.9803
openmp.doc,9,1500x1500,3.8600
openmp.doc,10,2000x2000,11.0388
openmp.doc,11,2500x2500,19.4811
openmp.doc,12,3000x3000,39.3484
openmp.doc,13,3500x3500,55.9201
openmp.doc,14,4000x4000,96.7368
openmp.doc,15,4500x4500,146.0125
openmp.doc,16,5000x5000,217.3833
openmp.doc,17,1000x1000,0.9830
openmp.doc,18,1500x1500,3.9632
openmp.doc,19,2000x2000,11.1107
openmp.doc,20,2500x2500,21.5318
openmp.doc,21,3000x3000,41.4451
openmp.doc,22,3500x3500,58.0818
openmp.doc,23,4000x4000,100.7843
openmp.doc,24,4500x4500,133.0125
openmp.doc,25,5000x5000,198.2185
openmp.doc,26,1000x1000,1.0099
openmp.doc,27,1500x1500,3.8893
openmp.doc,28,2000x2000,11.0830
openmp.doc,29,2500x2500,19.5067
openmp.doc,30,3000x3000,39.5031
openmp.doc,31,3500x3500,55.3283
openmp.doc,32,4000x4000,97.2104
openmp.doc,33,4500x4500,124.7045
openmp.doc,34,5000x5000,193.2803
openmp.doc,35,1000x1000,0.9860
openmp.doc,36,1500x1500,3.8670
openmp.doc,37,2000x2000,11.0044
openmp.doc,38,2500x2500,19.5477
openmp.doc,39,3000x3000,39.6428
openmp.doc,40,3500x3500,54.4903
openmp.doc,41,4000x4000,96.9007
openmp.doc,42,4500x4500,124.3234
openmp.doc,43,5000x5000,192.9659
openmp.doc,44,1000x1000,0.9943
openmp.doc,45,1500x1500,3.8484
openmp.doc,46,2000x2000,11.0263
openmp.doc,47,2500x2500,19.4197
openmp.doc,48,3000x3000,39.6788
openmp.doc,49,3500x3500,54.3462
openmp.doc,50,4000x4000,97.4286
openmp.doc,51,4500x4500,126.9535
openmp.doc,52,5000x5000,193.2520
openmp.doc,53,1000x1000,0.9802
openmp.doc,54,1500x1500,3.8524
openmp.doc,55,2000x2000,11.0342
openmp.doc,56,2500x2500,19.7978
openmp.doc,57,3000x3000,39.6596
openmp.doc,58,3500x3500,54.4925
openmp.doc,59,4000x4000,96.7704
openmp.doc,60,4500x4500,124.8784
openmp.doc,61,5000x5000,193.1030
openmp.doc,62,1000x1000,0.9900
openmp.doc,63,1500x1500,3.9177
openmp.doc,64,2000x2000,11.0090
openmp.doc,65,2500x2500,19.4210
openmp.doc,66,3000x3000,39.6327
openmp.doc,67,3500x3500,54.2838
openmp.doc,68,4000x4000,97.4869
openmp.doc,69,4500x4500,124.7987
openmp.doc,70,5000x5000,227.1401
openmp.doc,71,1000x1000,1.2306
openmp.doc,72,1500x1500,4.5458
openmp.doc,73,2000x2000,11.7647
openmp.doc,74,2500x2500,19.7741
openmp.doc,75,3000x3000,46.0800
openmp.doc,76,3500x3500,63.0717
openmp.doc,77,4000x4000,105.0099
openmp.doc,78,4500x4500,125.6164
openmp.doc,79,5000x5000,193.8336
openmp.doc,80,1000x1000,1.1245
openmp.doc,81,1500x1500,3.8335
openmp.doc,82,2000x2000,10.9957
openmp.doc,83,2500x2500,19.4632
openmp.doc,84,3000x3000,40.8658
openmp.doc,85,3500x3500,58.0350
openmp.doc,86,4000x4000,98.8410
openmp.doc,87,4500x4500,135.5908
openmp.doc,88,5000x5000,200.5319
openmp.doc,89,1000x1000,0.8692
openmp.doc,90,1500x1500,3.6022
openmp.doc,91,2000x2000,10.6891
openmp.doc,92,2500x2500,19.1227
openmp.doc,93,3000x3000,39.3040
openmp.doc,94,3500x3500,58.2668
openmp.doc,95,4000x4000,99.9838
openmp.doc,96,4500x4500,144.1317
openmp.doc,97,5000x5000,193.5274
openmp.doc,98,1000x1000,0.9459
openmp.doc,99,1500x1500,3.8246
openmp.doc,100,2000x2000,10.9813
openmp.doc,101,2500x2500,19.4990
openmp.doc,102,3000x3000,39.4016
openmp.doc,103,3500x3500,54.2158
openmp.doc,104,4000x4000,96.7450
openmp.doc,105,4500x4500,124.6183
standar.doc,1,1000x1000,4.5351
standar.doc,2,1500x1500,19.7350
standar.doc,3,2000x2000,62.5670
standar.doc,4,2500x2500,126.4156
standar.doc,5,3000x3000,215.9536
standar.doc,6,3500x3500,362.9151
standar.doc,7,4000x4000,596.3382
standar.doc,8,4500x4500,916.1887
standar.doc,9,5000x5000,1227.7434
standar.doc,10,1000x1000,6.7187
standar.doc,11,1500x1500,23.3923
standar.doc,12,2000x2000,69.3032
standar.doc,13,2500x2500,135.6236
standar.doc,14,3000x3000,237.0264
standar.doc,15,3500x3500,309.6780
standar.doc,16,4000x4000,513.4137
standar.doc,17,4500x4500,782.4034
standar.doc,18,5000x5000,1032.8328
standar.doc,19,1000x1000,4.2351
standar.doc,20,1500x1500,18.3828
standar.doc,21,2000x2000,57.9076
standar.doc,22,2500x2500,122.7230
standar.doc,23,3000x3000,210.3557
standar.doc,24,3500x3500,321.4047
standar.doc,25,4000x4000,539.3953
standar.doc,26,4500x4500,776.0100
standar.doc,27,5000x5000,1137.0419
standar.doc,28,1000x1000,4.6886
standar.doc,29,1500x1500,18.7048
standar.doc,30,1000x1000,5.4872
standar.doc,31,1500x1500,20.3439
standar.doc,32,2000x2000,57.2786
standar.doc,33,2500x2500,123.3288
standar.doc,34,3000x3000,180.2307
standar.doc,35,3500x3500,309.1555
standar.doc,36,4000x4000,526.5861
standar.doc,37,1000x1000,4.6279
standar.doc,38,1500x1500,20.4241
standar.doc,39,2000x2000,57.7042
standar.doc,40,2500x2500,117.4611
standar.doc,41,3000x3000,208.4543
standar.doc,42,3500x3500,303.1660
standar.doc,43,4000x4000,508.5404
standar.doc,44,4500x4500,598.3836
standar.doc,45,5000x5000,992.1633
standar.doc,46,1000x1000,4.4085
standar.doc,47,1500x1500,19.0369
standar.doc,48,2000x2000,57.4484
standar.doc,49,2500x2500,117.5790
standar.doc,50,3000x3000,207.9841
standar.doc,51,3500x3500,307.0861
standar.doc,52,4000x4000,462.4882
standar.doc,53,4500x4500,732.5415
standar.doc,54,5000x5000,999.8574
standar.doc,55,1000x1000,4.3535
standar.doc,56,1500x1500,18.8271
standar.doc,57,2000x2000,57.8205
standar.doc,58,2500x2500,117.4786
standar.doc,59,3000x3000,206.7982
standar.doc,60,3500x3500,270.4017
standar.doc,61,4000x4000,507.6508
standar.doc,62,4500x4500,734.6688
standar.doc,63,5000x5000,1003.7149
standar.doc,64,1000x1000,4.4823
standar.doc,65,1500x1500,18.2387
standar.doc,66,2000x2000,56.4010
standar.doc,67,2500x2500,94.6329
standar.doc,68,3000x3000,207.7680
standar.doc,69,3500x3500,305.5400
standar.doc,70,4000x4000,509.3402
standar.doc,71,4500x4500,733.2642
standar.doc,72,5000x5000,927.4449
standar.doc,73,1000x1000,4.3719
standar.doc,74,1500x1500,19.0683
standar.doc,75,2000x2000,57.8413
